x,y,r
518390.0,135110.0,9.6663
518400.0,139140.0,9.3393
518420.0,140130.0,9.4325
518440.0,141120.0,9.4928
518450.0,142130.0,9.4991
518460.0,143160.0,9.4611
518460.0,144190.0,9.3204
518460.0,134090.0,9.8664
518480.0,145220.0,9.0146
518510.0,146230.0,8.6375
518550.0,136740.0,9.3283
518550.0,137750.0,9.2456
518560.0,135720.0,9.4832
518560.0,133070.0,10.004
518580.0,138740.0,9.2712
518600.0,134690.0,9.7395
518610.0,139720.0,9.3666
518630.0,140710.0,9.4549
518640.0,141710.0,9.4935
518650.0,142730.0,9.4839
518660.0,143770.0,9.4065
518670.0,144790.0,9.1876
518680.0,133660.0,9.9265
518700.0,145810.0,8.7903
518740.0,137330.0,9.2211
518740.0,136320.0,9.3297
